rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed,cluster
122,0.9920305828265314,0.0007940024405562,0.0003479869125513,0.3580907960199004,0.0104032639973056,0.0045594314752269,0.0230136584550904,0.0005706038408902,0.0002636055255728,0.0999999999999999,0,20,200,200,12345,2
123,0.9239415860059144,0.0402992141702346,0.0176619093355956,0.0114378109452736,0.0067699302578956,0.0029670527548791,0.0047775683724969,0.0026160134469208,0.0011465184438842,0.0,0,20,200,200,12345,1
124,0.9855947603816564,0.001296421668924,0.0005681818479267,0.1523731343283582,0.0517166672265402,0.0226658287637027,0.0207433259735732,0.0012721168310386,0.0005575297830666,0.0,0,20,200,200,12345,2
125,0.9733041405598748,0.0040869155835686,0.0017911697283798,0.0308967661691542,0.0374716350150262,0.0164226681318453,0.0097024637652435,0.0054030394923199,0.0028302851678458,0.3,0,20,200,200,12345,1
126,0.991522756561618,0.0007505983682631,0.0003289642391464,0.2485659203980099,0.1526835762829938,0.0669165277008435,0.0230080356071188,0.0010336102327221,0.000464767842149,0.05,0,20,200,200,12345,2
127,0.6727568578131458,0.1239173916615994,0.0543091914245611,0.0040049751243781,0.0047335979213308,0.0020745907591285,0.0036016394054801,0.0026532497827698,0.0014423230116342,0.35,0,20,200,200,12345,1
128,0.0085572188174111,0.0013989025285071,0.0006130960649371,3.6069651741293525e-05,2.053676486273374e-05,9.000634045116349e-06,,,,1.0,0,20,200,200,12345,0
129,0.9916508583631896,0.0009311205588292,0.0004080815774987,0.2779676616915423,0.1246089371833117,0.0546122746125937,0.0229619082713295,0.00033841925005,0.000160874299697,0.15,0,20,200,200,12345,2
130,0.6552132296310565,0.0284428858588348,0.0124656443462979,0.0060124378109452,0.0050015799613883,0.0021920390665587,0.0024810438830516,0.0019969435618675,0.000949286711682,0.15,1,20,200,200,12345,1
131,0.951719018485178,0.0059517853899127,0.0026084849569896,0.0458917910447761,0.0352402583028237,0.015444724169514,0.0147032554985312,0.005120295202708,0.0025912268915731,0.25,0,20,200,200,12345,1
132,0.657967496572116,0.0447609877706648,0.0196173678334677,0.0065074626865671,0.0036460389575878,0.0015979470277246,0.000549306144334,0.0016907286382623,0.0007409944966653,0.0,0,20,200,200,12345,1
133,0.978120470808945,0.0040030595085911,0.0017544181831206,0.0179452736318407,0.0161697633176313,0.007086711231828,0.0048340799020823,0.003367931634703,0.0016502865010044,0.1999999999999999,0,20,200,200,12345,1
134,0.8667481392190999,0.0182938107306405,0.0080176160548005,0.0137089552238805,0.0189850585357926,0.0083205687627976,0.006878179734007,0.0032305940769344,0.0015357269412284,0.15,1,20,200,200,12345,1
135,0.9964149293088672,0.0005503403575489,0.0002411972962472,0.3066318407960199,0.0153329197394245,0.0067199483628567,0.023078090511337,0.0002776098362781,0.0001216678751675,0.0,0,20,200,200,12345,2
136,0.0158500006857504,0.002225427343898,0.0009753365367087,9.82587064676617e-05,8.521202473898385e-05,3.734581644408529e-05,,,,1.0,0,20,200,200,12345,0
137,0.9851172577141936,0.0014406044200808,0.0006313727247495,0.1539539800995024,0.0596186092616503,0.0261290075544775,0.0203061519116947,0.0015883645901712,0.0006961314745485,0.0,0,20,200,200,12345,2
138,0.9403462173506296,0.027203853229436,0.0119226143539054,0.0059950248756218,0.0038197606763677,0.0016740839279072,0.0027725887222397,0.001434950990579,0.0007261853951138,0.25,1,20,200,200,12345,1
139,0.9544961776397304,0.023411012039264,0.0102603284110046,0.0079875621890547,0.0061048450852953,0.0026755663261538,0.0047653868663496,0.0017328679513998,0.0008491052961859,0.1999999999999999,0,20,200,200,12345,1
140,0.8077508012338738,0.0287549112723223,0.01260239551321,0.0062574626865671,0.0027162188190466,0.0011904353845458,0.0015995704166767,0.0017982820587746,0.0009775572626532,0.35,0,20,200,200,12345,1
141,0.989987913912164,0.003767578639582,0.0016512141419415,0.008981343283582,0.0112216774019927,0.004918116964516,0.0061175486438502,0.0019116881625572,0.0011297355098798,0.4499999999999999,0,20,200,200,12345,1
